Date,CountryCode,Count
4/6/2017,AE,1
4/6/2017,AF,6
4/6/2017,AL,1
4/6/2017,AS,6
4/6/2017,BE,2
4/6/2017,BF,2
4/6/2017,BX,3
4/6/2017,CA,6
4/6/2017,CH,23
4/6/2017,CS,4
4/6/2017,DA,2
4/6/2017,EG,6
4/6/2017,EZ,2
4/6/2017,FR,4
4/6/2017,GM,10
4/6/2017,IN,11
4/6/2017,IS,82
4/6/2017,IT,2
4/6/2017,IZ,6
4/6/2017,JA,12
4/6/2017,KG,1
4/6/2017,KN,6
4/6/2017,LE,5
4/6/2017,MT,1
4/6/2017,MX,11
4/6/2017,NP,2
4/6/2017,NZ,4
4/6/2017,PK,8
4/6/2017,PL,2
4/6/2017,RP,24
4/6/2017,RS,394
4/6/2017,SF,1
4/6/2017,SO,2
4/6/2017,SP,220
4/6/2017,SW,1
4/6/2017,SY,1177
4/6/2017,SZ,2
4/6/2017,TH,1
4/6/2017,TU,6
4/6/2017,TW,8
4/6/2017,UK,5
4/6/2017,US,335
4/6/2017,VE,14
4/6/2017,WE,8
4/7/2017,AE,4
4/7/2017,AF,11
4/7/2017,AL,10
4/7/2017,AR,7
4/7/2017,AS,81
4/7/2017,AU,4
4/7/2017,BE,11
4/7/2017,BF,7
4/7/2017,BG,2
4/7/2017,BH,2
4/7/2017,BL,3
4/7/2017,BM,8
4/7/2017,BO,2
4/7/2017,BR,3
4/7/2017,BU,6
4/7/2017,BX,2
4/7/2017,CA,66
4/7/2017,CB,8
4/7/2017,CD,4
4/7/2017,CE,13
4/7/2017,CF,1
4/7/2017,CH,104
4/7/2017,CM,1
4/7/2017,CU,13
4/7/2017,DA,10
4/7/2017,EC,7
4/7/2017,EG,34
4/7/2017,EI,18
4/7/2017,EN,5
4/7/2017,ES,1
4/7/2017,EZ,11
4/7/2017,FI,2
4/7/2017,FR,44
4/7/2017,GA,1
4/7/2017,GB,2
4/7/2017,GH,2
4/7/2017,GM,31
4/7/2017,GR,12
4/7/2017,GT,2
4/7/2017,HA,9
4/7/2017,HK,9
4/7/2017,HR,3
4/7/2017,HU,4
4/7/2017,ID,37
4/7/2017,IN,61
4/7/2017,IR,14
4/7/2017,IS,470
4/7/2017,IT,18
4/7/2017,IZ,24
4/7/2017,JA,23
4/7/2017,JE,3
4/7/2017,JM,14
4/7/2017,KE,1
4/7/2017,KN,25
4/7/2017,KS,28
4/7/2017,LE,3
4/7/2017,LG,8
4/7/2017,LH,4
4/7/2017,LO,2
4/7/2017,LU,6
4/7/2017,LY,18
4/7/2017,MA,1
4/7/2017,MK,12
4/7/2017,ML,1
4/7/2017,MN,5
4/7/2017,MV,3
4/7/2017,MX,26
4/7/2017,MY,14
4/7/2017,NI,10
4/7/2017,NL,3
4/7/2017,NO,1
4/7/2017,NZ,20
4/7/2017,OD,4
4/7/2017,OS,3
4/7/2017,PA,1
4/7/2017,PE,3
4/7/2017,PK,20
4/7/2017,PL,8
4/7/2017,RI,2
4/7/2017,RO,6
4/7/2017,RP,44
4/7/2017,RS,745
4/7/2017,SA,8
4/7/2017,SF,7
4/7/2017,SG,4
4/7/2017,SM,4
4/7/2017,SO,1
4/7/2017,SP,175
4/7/2017,SU,2
4/7/2017,SW,850
4/7/2017,SY,521
4/7/2017,SZ,13
4/7/2017,TU,24
4/7/2017,TW,4
4/7/2017,UG,12
4/7/2017,UK,161
4/7/2017,UP,4
4/7/2017,US,1128
4/7/2017,VE,77
4/7/2017,VI,1
4/7/2017,VM,5
4/7/2017,WE,44
4/7/2017,ZI,3
4/8/2017,AE,4
4/8/2017,AF,159
4/8/2017,AS,56
4/8/2017,BA,19
4/8/2017,BE,3
4/8/2017,BF,2
4/8/2017,BG,26
4/8/2017,BH,5
4/8/2017,BM,1
4/8/2017,BR,16
4/8/2017,CA,34
4/8/2017,CD,1
4/8/2017,CE,23
4/8/2017,CH,24
4/8/2017,CO,3
4/8/2017,CU,2
4/8/2017,DA,8
4/8/2017,EG,12
4/8/2017,EI,12
4/8/2017,EK,1
4/8/2017,ES,2
4/8/2017,EZ,10
4/8/2017,FJ,2
4/8/2017,FR,38
4/8/2017,GM,21
4/8/2017,GQ,1
4/8/2017,GR,2
4/8/2017,GV,1
4/8/2017,HK,13
4/8/2017,HU,2
4/8/2017,IC,3
4/8/2017,ID,2
4/8/2017,IN,374
4/8/2017,IR,9
4/8/2017,IS,448
4/8/2017,IT,2
4/8/2017,IZ,24
4/8/2017,JA,44
4/8/2017,JE,2
4/8/2017,JM,6
4/8/2017,JO,1
4/8/2017,KN,9
4/8/2017,KS,17
4/8/2017,KU,2
4/8/2017,LE,1
4/8/2017,LO,1
4/8/2017,LY,9
4/8/2017,MK,4
4/8/2017,MN,1
4/8/2017,MP,1
4/8/2017,MX,23
4/8/2017,NI,10
4/8/2017,NL,1
4/8/2017,NO,1
4/8/2017,NP,3
4/8/2017,NZ,7
4/8/2017,OD,3
4/8/2017,OS,1
4/8/2017,PK,77
4/8/2017,PL,1
4/8/2017,QA,6
4/8/2017,RP,11
4/8/2017,RS,169
4/8/2017,RW,1
4/8/2017,SA,7
4/8/2017,SF,2
4/8/2017,SN,2
4/8/2017,SO,9
4/8/2017,SP,21
4/8/2017,ST,2
4/8/2017,SU,10
4/8/2017,SW,582
4/8/2017,SY,244
4/8/2017,SZ,19
4/8/2017,TH,14
4/8/2017,TU,47
4/8/2017,TW,13
4/8/2017,UK,95
4/8/2017,UP,1
4/8/2017,US,698
4/8/2017,UZ,4
4/8/2017,VE,2
4/8/2017,VM,9
4/8/2017,WE,42
4/8/2017,ZA,1
4/8/2017,ZI,7
4/9/2017,AE,24
4/9/2017,AM,1
4/9/2017,AR,3
4/9/2017,AS,225
4/9/2017,BA,1
4/9/2017,BE,3
4/9/2017,BF,7
4/9/2017,BL,2
4/9/2017,BR,2
4/9/2017,BU,15
4/9/2017,CA,160
4/9/2017,CH,53
4/9/2017,CI,2
4/9/2017,CO,4
4/9/2017,CY,2
4/9/2017,EC,1
4/9/2017,EG,21
4/9/2017,EI,2
4/9/2017,EK,2
4/9/2017,ET,2
4/9/2017,EZ,10
4/9/2017,FR,38
4/9/2017,GH,6
4/9/2017,GI,1
4/9/2017,GM,33
4/9/2017,GR,2
4/9/2017,HA,1
4/9/2017,HK,3
4/9/2017,IN,89
4/9/2017,IR,1
4/9/2017,IS,418
4/9/2017,IT,7
4/9/2017,IZ,6
4/9/2017,JA,13
4/9/2017,JM,1
4/9/2017,KN,10
4/9/2017,KS,10
4/9/2017,LE,4
4/9/2017,LY,2
4/9/2017,MA,1
4/9/2017,MT,3
4/9/2017,MX,29
4/9/2017,MY,1
4/9/2017,NG,2
4/9/2017,NI,20
4/9/2017,NP,1
4/9/2017,PA,2
4/9/2017,PE,4
4/9/2017,PK,9
4/9/2017,PP,5
4/9/2017,QA,11
4/9/2017,RI,1
4/9/2017,RP,5
4/9/2017,RS,130
4/9/2017,RW,2
4/9/2017,SA,3
4/9/2017,SC,1
4/9/2017,SF,9
4/9/2017,SP,33
4/9/2017,SW,102
4/9/2017,SY,235
4/9/2017,SZ,15
4/9/2017,TD,2
4/9/2017,TH,1
4/9/2017,TN,8
4/9/2017,TU,26
4/9/2017,TW,1
4/9/2017,UG,6
4/9/2017,UK,108
4/9/2017,UP,2
4/9/2017,US,266
4/9/2017,UY,2
4/9/2017,UZ,1
4/9/2017,VE,51
4/9/2017,VM,2
4/9/2017,WE,40
4/9/2017,YM,1
4/9/2017,ZI,3
4/10/2017,AE,17
4/10/2017,AF,1
4/10/2017,AS,85
4/10/2017,AU,1
4/10/2017,BB,2
4/10/2017,BC,1
4/10/2017,BE,11
4/10/2017,BF,9
4/10/2017,BG,4
4/10/2017,BM,1
4/10/2017,BR,5
4/10/2017,BU,2
4/10/2017,BX,7
4/10/2017,CA,27
4/10/2017,CF,1
4/10/2017,CG,1
4/10/2017,CH,170
4/10/2017,CM,1
4/10/2017,DA,2
4/10/2017,EC,1
4/10/2017,EG,33
4/10/2017,EI,7
4/10/2017,ES,1
4/10/2017,ET,1
4/10/2017,EZ,13
4/10/2017,FG,23
4/10/2017,FJ,1
4/10/2017,FR,83
4/10/2017,GA,1
4/10/2017,GB,2
4/10/2017,GM,20
4/10/2017,GR,2
4/10/2017,GV,2
4/10/2017,GY,4
4/10/2017,HA,2
4/10/2017,HK,6
4/10/2017,HU,1
4/10/2017,ID,12
4/10/2017,IN,141
4/10/2017,IR,3
4/10/2017,IS,481
4/10/2017,IT,20
4/10/2017,IZ,6
4/10/2017,JA,29
4/10/2017,JO,1
4/10/2017,KN,32
4/10/2017,KS,16
4/10/2017,KZ,1
4/10/2017,LE,1
4/10/2017,LG,1
4/10/2017,LH,1
4/10/2017,LI,9
4/10/2017,LS,1
4/10/2017,LU,1
4/10/2017,LY,2
4/10/2017,MA,1
4/10/2017,ML,1
4/10/2017,MN,1
4/10/2017,MT,13
4/10/2017,MX,45
4/10/2017,NI,6
4/10/2017,NL,3
4/10/2017,NO,3
4/10/2017,NP,3
4/10/2017,NS,1
4/10/2017,NZ,5
4/10/2017,OS,1
4/10/2017,PE,2
4/10/2017,PK,10
4/10/2017,PL,20
4/10/2017,PM,1
4/10/2017,PO,1
4/10/2017,QA,8
4/10/2017,RI,1
4/10/2017,RO,1
4/10/2017,RP,22
4/10/2017,RS,175
4/10/2017,SA,4
4/10/2017,SF,4
4/10/2017,SN,4
4/10/2017,SO,5
4/10/2017,SP,31
4/10/2017,SW,24
4/10/2017,SY,127
4/10/2017,SZ,13
4/10/2017,TH,1
4/10/2017,TN,3
4/10/2017,TU,11
4/10/2017,TW,4
4/10/2017,TZ,2
4/10/2017,UK,722
4/10/2017,UP,1
4/10/2017,US,1098
4/10/2017,UZ,1
4/10/2017,VE,12
4/10/2017,WA,9
4/10/2017,WE,44
4/10/2017,ZI,1
4/11/2017,AE,6
4/11/2017,AF,3
4/11/2017,AG,7
4/11/2017,AS,305
4/11/2017,AU,1
4/11/2017,BE,1
4/11/2017,BF,2
4/11/2017,BG,13
4/11/2017,BH,13
4/11/2017,BM,2
4/11/2017,BO,6
4/11/2017,BR,4
4/11/2017,BU,3
4/11/2017,CA,46
4/11/2017,CE,4
4/11/2017,CF,2
4/11/2017,CG,1
4/11/2017,CH,61
4/11/2017,CI,7
4/11/2017,CM,4
4/11/2017,CO,9
4/11/2017,DA,1
4/11/2017,EG,17
4/11/2017,EI,33
4/11/2017,ET,2
4/11/2017,EZ,11
4/11/2017,FG,9
4/11/2017,FR,61
4/11/2017,GM,24
4/11/2017,GQ,3
4/11/2017,GR,22
4/11/2017,GY,1
4/11/2017,HK,4
4/11/2017,HR,8
4/11/2017,ID,8
4/11/2017,IN,68
4/11/2017,IR,6
4/11/2017,IS,470
4/11/2017,IT,108
4/11/2017,IZ,9
4/11/2017,JA,22
4/11/2017,JE,1
4/11/2017,KN,15
4/11/2017,KS,13
4/11/2017,KU,1
4/11/2017,KZ,3
4/11/2017,LE,3
4/11/2017,LY,1
4/11/2017,MI,1
4/11/2017,ML,2
4/11/2017,MO,1
4/11/2017,MT,5
4/11/2017,MU,8
4/11/2017,MV,1
4/11/2017,MX,67
4/11/2017,NG,6
4/11/2017,NI,13
4/11/2017,NL,7
4/11/2017,NP,6
4/11/2017,NS,1
4/11/2017,NZ,5
4/11/2017,OD,38
4/11/2017,PE,4
4/11/2017,PK,10
4/11/2017,PL,1
4/11/2017,PO,1
4/11/2017,PP,1
4/11/2017,QA,23
4/11/2017,RI,1
4/11/2017,RP,11
4/11/2017,RQ,1
4/11/2017,RS,331
4/11/2017,SA,1
4/11/2017,SF,14
4/11/2017,SO,20
4/11/2017,SP,14
4/11/2017,ST,1
4/11/2017,SW,11
4/11/2017,SY,170
4/11/2017,SZ,13
4/11/2017,TH,6
4/11/2017,TS,10
4/11/2017,TU,359
4/11/2017,TW,4
4/11/2017,UK,170
4/11/2017,UP,1
4/11/2017,US,1459
4/11/2017,VE,39
4/11/2017,VM,9
4/11/2017,WE,44
4/11/2017,WZ,1
4/11/2017,YM,1
4/11/2017,ZI,2
4/12/2017,AC,1
4/12/2017,AE,3
4/12/2017,AJ,2
4/12/2017,AR,2
4/12/2017,AS,37
4/12/2017,AU,2
4/12/2017,AY,1
4/12/2017,BB,2
4/12/2017,BE,2
4/12/2017,BF,10
4/12/2017,BG,11
4/12/2017,BL,1
4/12/2017,BM,5
4/12/2017,BO,3
4/12/2017,BR,13
4/12/2017,CA,39
4/12/2017,CB,11
4/12/2017,CE,4
4/12/2017,CH,73
4/12/2017,CI,22
4/12/2017,CM,33
4/12/2017,CU,1
4/12/2017,DA,2
4/12/2017,EG,15
4/12/2017,EI,14
4/12/2017,EN,1
4/12/2017,ET,1
4/12/2017,EZ,11
4/12/2017,FI,3
4/12/2017,FJ,2
4/12/2017,FR,52
4/12/2017,GH,11
4/12/2017,GJ,1
4/12/2017,GM,32
4/12/2017,GQ,4
4/12/2017,GR,8
4/12/2017,GT,2
4/12/2017,HA,8
4/12/2017,HK,2
4/12/2017,ID,19
4/12/2017,IN,60
4/12/2017,IR,37
4/12/2017,IS,509
4/12/2017,IT,12
4/12/2017,IZ,102
4/12/2017,JA,34
4/12/2017,JE,1
4/12/2017,JO,4
4/12/2017,KE,4
4/12/2017,KN,9
4/12/2017,KS,30
4/12/2017,KU,2
4/12/2017,LG,1
4/12/2017,LH,1
4/12/2017,LY,3
4/12/2017,MF,1
4/12/2017,MK,3
4/12/2017,MN,1
4/12/2017,MO,4
4/12/2017,MX,28
4/12/2017,MY,3
4/12/2017,NG,10
4/12/2017,NI,26
4/12/2017,NL,2
4/12/2017,NP,3
4/12/2017,NZ,8
4/12/2017,PE,3
4/12/2017,PK,91
4/12/2017,PL,3
4/12/2017,PO,2
4/12/2017,QA,15
4/12/2017,RI,1
4/12/2017,RO,6
4/12/2017,RP,60
4/12/2017,RS,595
4/12/2017,SA,12
4/12/2017,SF,21
4/12/2017,SP,12
4/12/2017,SW,7
4/12/2017,SY,117
4/12/2017,SZ,18
4/12/2017,TH,33
4/12/2017,TU,37
4/12/2017,TW,1
4/12/2017,UK,276
4/12/2017,UP,7
4/12/2017,US,1099
4/12/2017,UZ,2
4/12/2017,VE,6
4/12/2017,VM,6
4/12/2017,VT,2
4/12/2017,WE,44
4/12/2017,YM,2
4/13/2017,AE,3
4/13/2017,AF,8
4/13/2017,AG,1
4/13/2017,AS,35
4/13/2017,AU,1
4/13/2017,BA,4
4/13/2017,BE,9
4/13/2017,BG,24
4/13/2017,BK,2
4/13/2017,BM,5
4/13/2017,BR,71
4/13/2017,CA,38
4/13/2017,CH,66
4/13/2017,CI,2
4/13/2017,CM,3
4/13/2017,CO,2
4/13/2017,CU,2
4/13/2017,DA,1
4/13/2017,EG,37
4/13/2017,EI,3
4/13/2017,ET,3
4/13/2017,EZ,11
4/13/2017,FJ,1
4/13/2017,FR,34
4/13/2017,GA,4
4/13/2017,GH,11
4/13/2017,GM,11
4/13/2017,GR,2
4/13/2017,GT,97
4/13/2017,HA,1
4/13/2017,HU,1
4/13/2017,ID,15
4/13/2017,IN,48
4/13/2017,IR,24
4/13/2017,IS,411
4/13/2017,IT,10
4/13/2017,IV,1
4/13/2017,IZ,29
4/13/2017,JA,21
4/13/2017,JE,1
4/13/2017,JM,1
4/13/2017,KE,1
4/13/2017,KN,168
4/13/2017,KS,40
4/13/2017,KZ,95
4/13/2017,LH,1
4/13/2017,LY,3
4/13/2017,MA,1
4/13/2017,MC,2
4/13/2017,MX,12
4/13/2017,MY,12
4/13/2017,MZ,1
4/13/2017,NI,13
4/13/2017,NO,1
4/13/2017,NZ,3
4/13/2017,OS,3
4/13/2017,PK,1
4/13/2017,PL,9
4/13/2017,PM,1
4/13/2017,QA,15
4/13/2017,RP,4
4/13/2017,RQ,1
4/13/2017,RS,531
4/13/2017,SA,4
4/13/2017,SF,54
4/13/2017,SL,3
4/13/2017,SN,5
4/13/2017,SO,1
4/13/2017,SP,69
4/13/2017,SW,9
4/13/2017,SY,121
4/13/2017,SZ,12
4/13/2017,TD,2
4/13/2017,TH,18
4/13/2017,TU,9
4/13/2017,TW,5
4/13/2017,UG,26
4/13/2017,UK,375
4/13/2017,UP,8
4/13/2017,US,804
4/13/2017,VE,121
4/13/2017,VM,17
4/13/2017,WE,37
4/13/2017,WZ,2
4/13/2017,ZI,14
4/14/2017,AE,3
4/14/2017,AF,28
4/14/2017,AO,2
4/14/2017,AR,4
4/14/2017,AS,295
4/14/2017,BA,2
4/14/2017,BE,6
4/14/2017,BG,91
4/14/2017,BL,3
4/14/2017,BR,11
4/14/2017,CA,135
4/14/2017,CB,1
4/14/2017,CD,1
4/14/2017,CH,59
4/14/2017,CI,9
4/14/2017,CS,2
4/14/2017,DJ,2
4/14/2017,EC,3
4/14/2017,EG,5
4/14/2017,EI,15
4/14/2017,ET,1
4/14/2017,EZ,11
4/14/2017,FI,1
4/14/2017,FR,25
4/14/2017,GH,3
4/14/2017,GM,23
4/14/2017,GR,3
4/14/2017,GT,27
4/14/2017,HK,1
4/14/2017,HO,8
4/14/2017,HR,2
4/14/2017,IC,4
4/14/2017,ID,29
4/14/2017,IN,65
4/14/2017,IR,15
4/14/2017,IS,361
4/14/2017,IT,13
4/14/2017,IV,2
4/14/2017,IZ,9
4/14/2017,JA,163
4/14/2017,KN,12
4/14/2017,KS,92
4/14/2017,KZ,21
4/14/2017,LH,2
4/14/2017,LY,3
4/14/2017,MJ,1
4/14/2017,MN,1
4/14/2017,MX,6
4/14/2017,MY,295
4/14/2017,NG,48
4/14/2017,NI,151
4/14/2017,NL,1
4/14/2017,NO,2
4/14/2017,NP,10
4/14/2017,NU,3
4/14/2017,NZ,5
4/14/2017,PE,6
4/14/2017,PK,14
4/14/2017,PL,6
4/14/2017,PO,2
4/14/2017,QA,10
4/14/2017,RP,55
4/14/2017,RS,110
4/14/2017,SA,38
4/14/2017,SL,2
