Date,Count
4/6/2017,2429
4/7/2017,5319
4/8/2017,3608
4/9/2017,2331
4/10/2017,3754
4/11/2017,4318
4/12/2017,3842
4/13/2017,3688
4/14/2017,3580
4/15/2017,4577
4/16/2017,2411
4/17/2017,4101
4/18/2017,3733
4/19/2017,2648
4/20/2017,3909
4/21/2017,3635
4/22/2017,2422
4/23/2017,2546
4/24/2017,2664
4/25/2017,3266
4/26/2017,3834
4/27/2017,5845
4/28/2017,7469
4/29/2017,2479
4/30/2017,2788
5/1/2017,8712
5/2/2017,9166
5/3/2017,3493
5/4/2017,3982
5/5/2017,4584
5/6/2017,1977
5/7/2017,4111
5/8/2017,6353
5/9/2017,4634
5/10/2017,1810
5/11/2017,4539
5/12/2017,2724
5/13/2017,2705
5/14/2017,2349
5/15/2017,2101
5/16/2017,2737
5/17/2017,2598
5/18/2017,4427
5/19/2017,3843
5/20/2017,2041
5/21/2017,1873
5/22/2017,2056
5/23/2017,4300
5/24/2017,2727
5/25/2017,3204
5/26/2017,14996
5/27/2017,7053
5/28/2017,5946
5/29/2017,4402
5/30/2017,4037
5/31/2017,3185
6/1/2017,9154
6/2/2017,7820
6/3/2017,3047
6/4/2017,8429
6/5/2017,5178
6/6/2017,3471
6/7/2017,2742
6/8/2017,3817
6/9/2017,4031
6/10/2017,2284
6/11/2017,2123
6/12/2017,3020
6/13/2017,2500
6/14/2017,1813
6/15/2017,2540
6/16/2017,1652
6/17/2017,2120
6/18/2017,2042
6/19/2017,2999
6/20/2017,2968
6/21/2017,2602
6/22/2017,2947
6/23/2017,2470
6/24/2017,1628
6/25/2017,2749
6/26/2017,2342
6/27/2017,1743
6/28/2017,3960
6/29/2017,2533
6/30/2017,2780
7/1/2017,1931
7/2/2017,1128
7/3/2017,1628
7/4/2017,1863
7/5/2017,2679
7/6/2017,3253
7/7/2017,4945
7/8/2017,2972
7/9/2017,2153
7/10/2017,1677
7/11/2017,2086
7/12/2017,2699
7/13/2017,1876
7/14/2017,2763
7/15/2017,864
7/16/2017,1530
7/17/2017,1606
7/18/2017,1935
7/19/2017,2120
7/20/2017,2079
7/21/2017,2887
7/22/2017,2373
7/23/2017,1879
7/24/2017,2645
7/25/2017,2219
7/26/2017,3364
7/27/2017,2924
7/28/2017,3275
7/29/2017,3021
7/30/2017,5796
7/31/2017,2210
8/1/2017,2248
8/2/2017,3085
8/3/2017,2136
8/4/2017,3154
8/5/2017,4673
8/6/2017,2304
8/7/2017,2391
8/8/2017,2622
8/9/2017,3018
8/10/2017,2151
8/11/2017,2186
8/12/2017,1740
8/13/2017,1525
8/14/2017,1731
8/15/2017,2934
8/16/2017,2139
8/17/2017,3268
8/18/2017,3106
8/19/2017,4931
8/20/2017,2719
8/21/2017,3088
8/22/2017,2562
8/23/2017,2719
8/24/2017,314
8/25/2017,1012
8/26/2017,1677
8/27/2017,1809
8/28/2017,2297
8/29/2017,3147
8/30/2017,2283
8/31/2017,2786
9/1/2017,2600
9/2/2017,2476
9/3/2017,2157
9/4/2017,2537
9/5/2017,2183
9/6/2017,3538
9/7/2017,3512
9/8/2017,2712
9/9/2017,3308
9/10/2017,2252
9/11/2017,2490
9/12/2017,2761
9/13/2017,3136
9/14/2017,6104
9/15/2017,3947
9/16/2017,2218
9/17/2017,2159
9/18/2017,4369
9/19/2017,4486
9/20/2017,4232
9/21/2017,4282
9/22/2017,2742
9/23/2017,4314
9/24/2017,4985
9/25/2017,8662
9/26/2017,6286
9/27/2017,3635
9/28/2017,3438
9/29/2017,2336
9/30/2017,2228
10/1/2017,2028
10/2/2017,2120
10/3/2017,4024
10/4/2017,3977
10/5/2017,3306
10/6/2017,4714
10/7/2017,2065
10/8/2017,2003
10/9/2017,3992
10/10/2017,5264
10/11/2017,3510
10/12/2017,4357
10/13/2017,6851
10/14/2017,4334
10/15/2017,1703
10/16/2017,5495
10/17/2017,4232
10/18/2017,1927
10/19/2017,4340
10/20/2017,3116
10/21/2017,2119
10/22/2017,2335
10/23/2017,3406
10/24/2017,4043
10/25/2017,3531
10/26/2017,3637
10/27/2017,3031
10/28/2017,2309
10/29/2017,2368
10/30/2017,2410
10/31/2017,3368
11/1/2017,5154
11/2/2017,3929
11/3/2017,3363
11/4/2017,4027
11/5/2017,3921
11/6/2017,6028
11/7/2017,4407
11/8/2017,4529
11/9/2017,3552
11/10/2017,3035
11/11/2017,3516
11/12/2017,3823
11/13/2017,3702
